ID,Name,Cell count,Pct of basin (%)
1,"Desert scrub, sparse  (V=0.15)",6802,48.37
2,"Desert scrub, moderate (V=0.30)",7191,51.13
3,Bare / impervious      (V=0.01),70,0.5
